ID,Area,AFR,LastAge,Censored,Year,Age,Mortality,Reproduced,LBS,ELF3
1,F,14,26,1,12,5,0,0,1,1
1,F,14,26,1,13,6,0,0,1,1
1,F,14,26,1,14,7,0,0,1,1
1,F,14,26,1,15,8,0,0,1,1
1,F,14,26,1,16,9,0,0,1,1
1,F,14,26,1,17,10,0,0,1,1
1,F,14,26,1,18,11,0,0,1,1
1,F,14,26,1,19,12,0,0,1,1
1,F,14,26,1,20,13,0,0,1,1
1,F,14,26,1,21,14,0,1,1,1
1,F,14,26,1,22,15,0,0,1,1
1,F,14,26,1,23,16,0,0,1,1
1,F,14,26,1,24,17,0,0,1,1
1,F,14,26,1,25,18,0,0,1,1
1,F,14,26,1,26,19,0,0,1,1
1,F,14,26,1,27,20,0,0,1,1
1,F,14,26,1,28,21,0,0,1,1
1,F,14,26,1,29,22,0,0,1,1
1,F,14,26,1,30,23,0,0,1,1
1,F,14,26,1,31,24,0,0,1,1
1,F,14,26,1,32,25,0,0,1,1
1,F,14,26,1,33,26,0,0,1,1
2,G,29,36,1,6,5,0,0,2,0
2,G,29,36,1,7,6,0,0,2,0
2,G,29,36,1,8,7,0,0,2,0
2,G,29,36,1,9,8,0,0,2,0
2,G,29,36,1,10,9,0,0,2,0
2,G,29,36,1,11,10,0,0,2,0
2,G,29,36,1,12,11,0,0,2,0
2,G,29,36,1,13,12,0,0,2,0
2,G,29,36,1,14,13,0,0,2,0
2,G,29,36,1,15,14,0,0,2,0
2,G,29,36,1,16,15,0,0,2,0
2,G,29,36,1,17,16,0,0,2,0
2,G,29,36,1,18,17,0,0,2,0
2,G,29,36,1,19,18,0,0,2,0
2,G,29,36,1,20,19,0,0,2,0
2,G,29,36,1,21,20,0,0,2,0
2,G,29,36,1,22,21,0,0,2,0
2,G,29,36,1,23,22,0,0,2,0
2,G,29,36,1,24,23,0,0,2,0
2,G,29,36,1,25,24,0,0,2,0
2,G,29,36,1,26,25,0,0,2,0
2,G,29,36,1,27,26,0,0,2,0
2,G,29,36,1,28,27,0,0,2,0
2,G,29,36,1,29,28,0,0,2,0
2,G,29,36,1,30,29,0,1,2,0
2,G,29,36,1,31,30,0,0,2,0
2,G,29,36,1,32,31,0,0,2,0
2,G,29,36,1,33,32,0,0,2,0
2,G,29,36,1,34,33,0,0,2,0
2,G,29,36,1,35,34,0,0,2,0
2,G,29,36,1,36,35,0,0,2,0
2,G,29,36,1,37,36,0,1,2,0
3,B,19,53,0,1,5,0,0,9,0
3,B,19,53,0,2,6,0,0,9,0
3,B,19,53,0,3,7,0,0,9,0
3,B,19,53,0,4,8,0,0,9,0
3,B,19,53,0,5,9,0,0,9,0
3,B,19,53,0,6,10,0,0,9,0
3,B,19,53,0,7,11,0,0,9,0
3,B,19,53,0,8,12,0,0,9,0
3,B,19,53,0,9,13,0,0,9,0
3,B,19,53,0,10,14,0,0,9,0
3,B,19,53,0,11,15,0,0,9,0
3,B,19,53,0,12,16,0,0,9,0
3,B,19,53,0,13,17,0,0,9,0
3,B,19,53,0,14,18,0,0,9,0
3,B,19,53,0,15,19,0,1,9,0
3,B,19,53,0,16,20,0,0,9,0
3,B,19,53,0,17,21,0,0,9,0
3,B,19,53,0,18,22,0,0,9,0
3,B,19,53,0,19,23,0,0,9,0
3,B,19,53,0,20,24,0,1,9,0
3,B,19,53,0,21,25,0,0,9,0
3,B,19,53,0,22,26,0,1,9,0
3,B,19,53,0,23,27,0,0,9,0
3,B,19,53,0,24,28,0,0,9,0
3,B,19,53,0,25,29,0,1,9,0
3,B,19,53,0,26,30,0,0,9,0
3,B,19,53,0,27,31,0,0,9,0
3,B,19,53,0,28,32,0,1,9,0
3,B,19,53,0,29,33,0,0,9,0
3,B,19,53,0,30,34,0,0,9,0
3,B,19,53,0,31,35,0,1,9,0
3,B,19,53,0,32,36,0,0,9,0
3,B,19,53,0,33,37,0,0,9,0
3,B,19,53,0,34,38,0,0,9,0
3,B,19,53,0,35,39,0,0,9,0
3,B,19,53,0,36,40,0,1,9,0
3,B,19,53,0,37,41,0,0,9,0
3,B,19,53,0,38,42,0,0,9,0
3,B,19,53,0,39,43,0,0,9,0
3,B,19,53,0,40,44,0,0,9,0
3,B,19,53,0,41,45,0,0,9,0
3,B,19,53,0,42,46,0,0,9,0
3,B,19,53,0,43,47,0,0,9,0
3,B,19,53,0,44,48,0,0,9,0
3,B,19,53,0,45,49,0,1,9,0
3,B,19,53,0,46,50,0,0,9,0
3,B,19,53,0,47,51,0,0,9,0
3,B,19,53,0,48,52,0,0,9,0
3,B,19,53,0,49,53,1,1,9,0
4,G,24,49,1,6,5,0,0,4,0
4,G,24,49,1,7,6,0,0,4,0
4,G,24,49,1,8,7,0,0,4,0
4,G,24,49,1,9,8,0,0,4,0
4,G,24,49,1,10,9,0,0,4,0
4,G,24,49,1,11,10,0,0,4,0
4,G,24,49,1,12,11,0,0,4,0
4,G,24,49,1,13,12,0,0,4,0
4,G,24,49,1,14,13,0,0,4,0
4,G,24,49,1,15,14,0,0,4,0
4,G,24,49,1,16,15,0,0,4,0
4,G,24,49,1,17,16,0,0,4,0
4,G,24,49,1,18,17,0,0,4,0
4,G,24,49,1,19,18,0,0,4,0
4,G,24,49,1,20,19,0,0,4,0
4,G,24,49,1,21,20,0,0,4,0
4,G,24,49,1,22,21,0,0,4,0
4,G,24,49,1,23,22,0,0,4,0
4,G,24,49,1,24,23,0,0,4,0
4,G,24,49,1,25,24,0,1,4,0
