ID,Area,AFR,LastAge,Censored,Year,Age,Mortality,Reproduced,LBS,ELF3
1,F,14,26,1,12,5,0,0,1,1
2,G,29,36,1,6,5,0,0,2,0
3,B,19,53,0,1,5,0,0,9,0
4,G,24,49,1,6,5,0,0,4,0
5,B,18,46,1,8,5,0,0,5,1
6,B,21,53,1,7,5,0,0,2,0
7,F,17,46,0,7,5,0,0,5,1
8,F,22,47,1,7,5,0,0,4,0
9,E,19,53,1,7,5,0,0,6,0
10,E,19,45,0,7,5,0,0,5,0
11,E,15,45,0,8,5,0,0,6,1
12,G,16,48,1,7,5,0,0,7,1
13,E,23,23,1,8,5,0,0,1,0
14,D,16,31,0,9,5,0,0,2,1
15,G,18,51,1,9,5,0,0,5,1
16,D,15,29,1,9,5,0,0,4,1
17,D,14,46,1,9,5,0,0,7,1
18,H,20,33,1,9,5,0,0,3,0
19,H,15,51,1,9,5,0,0,6,2
20,C,32,51,1,9,5,0,0,1,0
21,G,18,26,0,10,5,0,0,1,1
22,G,18,28,0,9,5,0,0,4,1
23,F,17,38,1,7,5,0,0,5,1
24,F,11,46,1,9,5,0,0,10,2
25,F,15,51,1,9,5,0,0,10,1
26,G,17,52,1,8,5,0,0,6,1
27,D,17,37,0,7,5,0,0,2,1
28,D,13,51,1,8,5,0,0,8,1
29,G,17,46,0,8,5,0,0,3,1
30,G,28,48,0,9,5,0,0,2,0
31,H,18,36,1,5,5,0,0,5,1
32,D,14,35,0,7,5,0,0,3,1
33,E,18,44,0,9,5,0,0,4,1
34,E,21,52,1,8,5,0,0,7,0
35,F,17,51,1,9,5,0,0,6,1
36,F,16,51,1,9,5,0,0,4,1
37,H,20,53,1,7,5,0,0,2,0
38,H,18,49,0,8,5,0,0,6,1
39,B,34,43,0,8,5,0,0,3,0
40,D,14,33,0,8,5,0,0,4,1
41,G,33,33,1,9,5,0,0,1,0
42,F,34,51,1,9,5,0,0,3,0
43,H,18,49,1,11,5,0,0,5,1
44,F,22,45,0,10,5,0,0,4,0
45,G,21,40,0,9,5,0,0,3,0
46,G,15,49,1,11,5,0,0,3,1
47,E,19,32,1,10,5,0,0,3,0
48,E,22,50,1,10,5,0,0,5,0
49,G,14,42,1,8,5,0,0,4,1
50,G,18,29,0,10,5,0,0,1,1
51,F,16,38,0,11,5,0,0,4,1
52,F,24,38,0,11,5,0,0,1,0
53,F,19,42,0,10,5,0,0,3,0
54,E,17,46,0,12,5,0,0,5,1
55,G,17,47,0,10,5,0,0,3,1
56,G,19,49,1,11,5,0,0,1,0
57,G,14,35,0,11,5,0,0,3,2
58,G,19,30,0,10,5,0,0,1,0
59,G,14,37,1,11,5,0,0,5,2
60,F,25,35,0,11,5,0,0,2,0
61,G,13,25,0,11,5,0,0,3,2
62,H,13,38,0,11,5,0,0,5,2
63,F,15,17,0,10,5,0,0,1,1
64,G,14,47,1,12,5,0,0,4,1
65,G,20,51,1,9,5,0,0,6,0
66,G,19,48,1,12,5,0,0,8,0
67,D,16,34,1,11,5,0,0,4,2
68,A,28,48,1,12,5,0,0,4,0
69,G,45,45,1,12,5,0,0,1,0
70,G,19,47,0,11,5,0,0,5,0
71,G,21,50,1,10,5,0,0,1,0
72,G,19,41,1,11,5,0,0,5,0
73,G,24,39,1,12,5,0,0,4,0
74,F,20,49,1,11,5,0,0,4,0
75,F,21,45,0,11,5,0,0,2,0
76,G,24,45,0,12,5,0,0,1,0
77,F,13,48,1,12,5,0,0,2,2
78,F,20,48,1,12,5,0,0,3,0
79,G,26,47,1,13,5,0,0,4,0
80,E,24,48,1,12,5,0,0,1,0
81,B,19,48,1,12,5,0,0,3,0
82,F,15,49,1,11,5,0,0,7,1
83,H,11,11,1,22,5,0,0,1,1
84,F,18,48,1,12,5,0,0,5,1
85,B,21,50,1,10,5,0,0,4,0
86,F,14,48,1,12,5,0,0,7,2
87,B,22,26,0,13,5,0,0,1,0
88,H,15,37,0,14,5,0,0,3,1
89,G,17,43,1,12,5,0,0,6,1
90,D,16,43,1,12,5,0,0,5,1
91,G,15,44,0,11,5,0,0,7,1
92,F,17,39,0,13,5,0,0,6,1
93,F,13,23,0,13,5,0,0,2,1
94,G,7,15,0,15,5,0,0,1,1
95,B,20,47,1,13,5,0,0,3,0
96,E,21,51,1,9,5,0,0,3,0
97,E,30,45,1,15,5,0,0,3,0
98,E,27,32,0,14,5,0,0,1,0
99,E,13,46,1,14,5,0,0,1,1
100,G,15,42,1,12,5,0,0,8,2
101,G,14,22,1,14,5,0,0,2,1
102,G,13,24,0,14,5,0,0,2,1
103,G,19,19,1,15,5,0,0,1,0
104,E,27,27,1,15,5,0,0,1,0
105,F,19,45,1,15,5,0,0,4,0
106,E,28,44,1,16,5,0,0,2,0
107,F,22,44,1,16,5,0,0,4,0
108,F,26,45,1,15,5,0,0,4,0
109,E,19,45,1,15,5,0,0,4,0
110,H,19,45,1,15,5,0,0,5,0
111,G,38,45,1,15,5,0,0,1,0
112,G,9,42,0,14,5,0,0,7,2
113,G,41,48,0,14,5,0,0,2,0
114,G,20,35,1,11,5,0,0,3,0
115,G,16,26,0,14,5,0,0,2,1
116,F,22,30,1,15,5,0,0,3,0
117,G,27,45,1,15,5,0,0,1,0
118,G,14,40,0,15,5,0,0,5,2
119,F,19,46,1,14,5,0,0,2,0
120,F,16,35,1,14,5,0,0,3,1
121,F,20,36,1,15,5,0,0,4,0
